snapshot_day,snapshot_time,Daysnap,gpu_name,vram,price_usd
2026-08-19,19-35-50,Wednesday,GeForce RTX 5090,32GB,4399
2026-08-19,19-35-50,Wednesday,GeForce RTX 5080,16GB,1478
2026-08-19,19-35-50,Wednesday,Radeon RX 9070 XT,16GB,719
2026-08-19,19-35-50,Wednesday,Radeon RX 7900 XTX,24GB,1029
2026-08-19,19-35-50,Wednesday,GeForce RTX 5070 Ti,16GB,1085
2026-08-19,19-35-50,Wednesday,Radeon RX 9070,16GB,629
2026-08-19,19-35-50,Wednesday,Radeon RX 7900 XT,20GB,967
2026-08-19,19-35-50,Wednesday,GeForce RTX 5070,12GB,767
2026-08-19,19-35-50,Wednesday,Radeon RX 7800 XT,16GB,895
2026-08-19,19-35-50,Wednesday,Radeon RX 6800 XT,16GB,900
2026-08-19,19-35-50,Wednesday,Radeon RX 7700 XT,12GB,409
2026-08-19,19-35-50,Wednesday,Radeon RX 9060 XT 16GB,16GB,459
2026-08-19,19-35-50,Wednesday,Radeon RX 9060 XT,8GB,458
2026-08-19,19-35-50,Wednesday,Radeon RX 6800,16GB,449
2026-08-19,19-35-50,Wednesday,GeForce RTX 5060 Ti 16GB,16GB,599
2026-08-19,19-35-50,Wednesday,GeForce RTX 5060 Ti,8GB,414
2026-08-19,19-35-50,Wednesday,Arc B580,12GB,309
2026-08-19,19-35-50,Wednesday,GeForce RTX 5060,8GB,392
2026-08-19,19-35-50,Wednesday,Radeon RX 6700 XT,12GB,329
2026-08-19,19-35-50,Wednesday,Arc B570,10GB,259
